source_id,category,title,question,answer,created_at,updated_at,raw_json
25964,부가서비스/마케팅,쇼핑몰 앱 스타일 설정 기능은 어떻게 활용하나요?,쇼핑몰 앱 스타일 설정 기능은 어떻게 활용하나요?,"쇼핑몰 관리자 페이지에서 앱(APP) 스타일을 간편하게 설정하고, 사용자 맞춤형 디자인을 적용할 수 있습니다.
경로 : [쇼핑몰 관리자페이지 > 모바일 > 앱 설정 > 앱 스타일 설정]
[앱 스타일 설정]
1. 배경색상 변경 _ 앱 화면 내 [상단바 배경색 / 하단 메뉴 배경색 / 하단 메뉴 아이콘 및 텍스트색]을 설정할 수 있습니다.
2. 하단 메뉴 텍스트 표시 여부 _ 앱 하단 메뉴에 텍스트 표시 여부를 설정할 수 있습니다.
※ '표시함' 설정
※ '표시하지 않음' 설정
3. 하단 메뉴 아이콘 및 순서 설정 _ 하단 메뉴의 아이콘과 노출 순서를 설정할 수 있습니다.
1) 설정 아이콘을 클릭합니다.
2) 메뉴 선택 시 동작할 액션을 지정합니다.
3) 해당 메뉴에 적용할 아이콘을 설정합니다.
4) 메뉴명을 입력합니다. 메뉴명은 최대 4자까지 입력 가능 합니다.
5) 메뉴를 원하는 위치로 이동해 순서를 변경합니다.
[앱 설정메뉴 편집]
1. 앱 '설정' 페이지 고객센터 메뉴 노출 여부 _ 앱 '설정' 내에서 고객센터 메뉴의 노출 여부를 조절할 수 있습니다.
※ '노출하지 않음' 설정
※ '노출함' 설정 _ '노출함'으로 설정 시 메뉴 및 버튼명 과 순서를 설정할 수 있습니다.
2. 고객센터 노출 메뉴 및 순서 설정
고객센터 메뉴의 항목 및 노출 순서를 설정할 수 있습니다.",,,"{""list_item"": {""seq"": 25964, ""category"": ""부가서비스/마케팅"", ""subject"": ""쇼핑몰 앱 스타일 설정 기능은 어떻게 활용하나요?""}, ""detail_url"": ""https://www.firstmall.kr/customer/faq/25964"", ""detail_answer_collected"": true}"
25861,구축/운영,네이버페이 주문형 카드 즉시할인 프로모션 참여 확정 시 노출은 어떻게 하나요?,네이버페이 주문형 카드 즉시할인 프로모션 참여 확정 시 노출은 어떻게 하나요?,"네이버페이 주문형 카드 즉시할인 프로모션 참여 신청 후 확정되었다면
아래와 같이 HTML수정을 통해 버튼 상단에 문구 노출 가능합니다.
▶️ 접근 경로
관리자 페이지 → 디자인편집 → HTML에디터
또는 FTP 프로그램을 통해 직접 해당 경로로 접속
⚠️ 주의사항
① {? navercheckout_tpl} 및 {navercheckout_tpl} 구문은 삭제 또는 변경 금지입니다.
② Npay 구매 시 2.5만원 이상 5% 즉시할인 (최대 7천원)문구는 예시 문구이며, 네이버페이 공식 문구로 교체해야 합니다.
③ 각 파일 수정 후 브라우저 캐시를 삭제 또는 ctrl+F5 후 변경사항을 확인하세요.
④ 수정위치(html 라인수)는 다를 수 있음으로 수정 전 코드를 꼭 확인 후 수정해주시기 바랍니다.
[반응형스킨]
1. [반응형스킨] 상품상세페이지 (PC)
✔️경로: data/skin/스킨명/goods/view.html
약 1480 ~ 1484 라인 ( 원본소스 기준 1480번 라인 부근 )
💡 확인 TIP
관리자 페이지에서 디자인 > 디자인편집 클릭 후 아이디자인OFF 상태에서
상품페이지 클릭 후 상단의 ‘HTML편집’ 버튼을 클릭하면 해당 HTML 파일의 경로를 바로 확인하실 수 있습니다.
🔸 수정 전 코드
{? navercheckout_tpl }
<div class=""goods_npay"" style=""display:none;"">
<div class=""goods_npay_inner"">{navercheckout_tpl}</div>
</div>
{/}
🔸 수정 후 코드
{? navercheckout_tpl }
<div class=""goods_npay"" style=""display:none; margin-top: 0px"">
<div style=""display: flex; flex-direction: column; justify-content: center; align-items: flex-end; margin: 7px 0px; align-self: stretch;"">
<div style=""display: flex; padding: 5px 0; align-items: center; gap: 10px"">
<span style=""font-family: 'Noto Sans KR'; font-size: 13px; font-style: normal; color: #03C75A;"">
Npay 구매 시 2.5만원 이상 5% 즉시할인 (최대 7천원)
</span>
</div>
</div>
<div class=""goods_npay_inner"">{navercheckout_tpl}</div>
</div>
{/}
2. [반응형스킨] 상품상세페이지 (Mobile)
✔️경로: data/skin/스킨명/goods/view.html
약 1340 ~ 1341 라인 ( 원본소스 기준 1340번 라인 부근 )
🔸 수정 전 코드
<li>
<ul class=""basic_btn_area"">
🔸 수정 후 코드
<li>
<div style=""display: flex; padding-bottom: 5px; align-items: center; gap: 10px;"">
<span style=""color: #03C75A; text-align: center; font-family: 'Noto Sans KR'; font-size: 13px; font-style: normal;"">
Npay 구매 시 2.5만원 이상 5% 즉시할인 (최대 7천원)
</span>
</div>
<ul class=""basic_btn_area"">
3. [반응형스킨] 장바구니 페이지 (PC / Mobile 공통)
✔️경로 : data/skin/스킨명/order/cart.html
약 392 라인( 원본소스 기준 392번 라인 부근 )
💡 확인 TIP
관리자 페이지에서 디자인 > 디자인편집 클릭 후 아이디자인OFF 상태에서
장바구니 클릭 후 상단의 ‘HTML편집’ 버튼을 클릭하면 해당 HTML 파일의 경로를 바로 확인하실 수 있습니다
🔸 수정 전 코드
<div class=""pdb10 center"">{navercheckout_tpl}</div>
🔸 수정 후 코드
<div class=""pdb10 center"" style=""display: flex; max-height: 100000px; padding-top: 20px; flex-direction: column; align-items: center; align-self: stretch;"">
<div style=""display: flex; padding: 5px 0; align-items: center; gap: 10px; margin-bottom:-20px"">
<span style=""color: #03C75A; font-family: 'Noto Sans KR'; font-size: 13px; font-style: normal;"">
Npay 구매 시 2.5만원 이상 5% 즉시할인 (최대 7천원)
</span>
</div>
{navercheckout_tpl}
</div>
[전용스킨(PC/Mobile)]
4. [전용스킨]상품상세페이지 (PC)
✔️경로 : data/skin/스킨명/goods/view.html
약 1186~1187 라인( 원본소스 기준 1185번 라인 부근 )
💡 확인 TIP
관리자 페이지에서 디자인 > 디자인편집 클릭 후 아이디자인OFF 상태에서
상품페이지 클릭 후 상단의 ‘HTML편집’ 버튼을 클릭하면 해당 HTML 파일의 경로를 바로 확인하실 수 있습니다.
🔸 수정 전 코드
<li class=""right"" id=""npay_area"" style=""display:none;"">
{navercheckout_tpl}
</li>
🔸 수정 후 코드
<li class=""right"" id=""npay_area"" style=""display:none;"">
<div style=""display: flex;flex-direction: column;justify-content: center;align-items: center;gap: 10px;align-self: stretch;margin-bottom: -20px; padding: 7px 0;"">
<div style=""display: flex;padding: 5px 0;align-items: center;gap: 10px"">
<span style=""font-family: 'Noto Sans KR';font-size: 13px;font-style: normal;color: #03C75A;text-align:"">
Npay 구매 시 2.5만원 이상 5% 즉시할인 (최대 7천원)
</span>
</div>
</div>
{navercheckout_tpl}
</li>
5. [전용스킨]상품상세페이지 (Mobile)
✔️경로 : data/skin/스킨명/goods/view.html
약 1488 ~ 1489 라인 ( 원본소스 기준 1464번 라인 부근 )
🔸 수정 전 코드
<div class=""buy_btn_wrap"">
<table width=""100%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
🔸 수정 후 코드
<div class=""buy_btn_wrap"">
<div style=""display: flex;padding-bottom: 5px;align-items: center;gap: 10px;"">
<span style=""color: #03C75A;text-align: center;font-family: 'Noto Sans KR';font-size: 13px;font-style: normal;"">
Npay 구매 시 2.5만원 이상 5% 즉시할인 (최대 7천원)
</span>
</div>
<table width=""100%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
6. [전용스킨]장바구니 페이지 (PC)
✔️경로 : data/skin/스킨명/order/cart.html
약 664 ~ 666라인 ( 원본소스 기준 664번 라인 부근 )
💡 확인 TIP
관리자 페이지에서 디자인 > 디자인편집 클릭 후 아이디자인OFF 상태에서
장바구니 클릭 후 상단의 ‘HTML편집’ 버튼을 클릭하면 해당 HTML 파일의 경로를 바로 확인하실 수 있습니다
🔸 수정 전 코드
<div class=""pdt25 right"">
{navercheckout_tpl}
</div>
🔸 수정 후 코드
<div class=""pdt25 right"">
<div style=""display: flex;flex-direction: column;justify-content: center;align-items: center;gap: 10px;align-self: stretch;margin-bottom: -20px"">
<div style=""display: flex;padding: 5px 0;align-items: center;gap: 10px"">
<span style=""font-family: 'Noto Sans KR';font-size: 13px;font-style: normal;color: #03C75A;text-align:"">
Npay 구매 시 2.5만원 이상 5% 즉시할인 (최대 7천원)
</span>
</div>
</div>
{navercheckout_tpl}
</div>
7. [전용스킨]장바구니 페이지 (Mobile)
✔️경로 : data/skin/스킨명/order/cart.html
약 552 라인 ( 원본소스 기준 549번 라인 부근 )
💡 확인 TIP
관리자 페이지에서 디자인 > 디자인편집 클릭 후 아이디자인OFF 상태에서
장바구니 클릭 후 상단의 ‘HTML편집’ 버튼을 클릭하면 해당 HTML 파일의 경로를 바로 확인하실 수 있습니다
🔸 수정 전 코드
<div class=""pdb10 center"">{navercheckout_tpl}</div>
🔸 수정 후 코드
<div class=""pdb10 center"">
<div style=""display: flex;flex-direction: column;justify-content: center;align-items: center;gap: 10px;align-self: stretch;margin-bottom: -20px; padding: 7px 0"">
<div style=""display: flex;padding: 5px 0;align-items: center;gap: 10px"">
<span style=""font-family: 'Noto Sans KR';font-size: 13px;font-style: normal;color: #03C75A;text-align:"">
Npay 구매 시 2.5만원 이상 5% 즉시할인 (최대 7천원)
</span>
</div>
</div>
{navercheckout_tpl}
</div>",,,"{""list_item"": {""seq"": 25861, ""category"": ""구축/운영"", ""subject"": ""네이버페이 주문형 카드 즉시할인 프로모션 참여 확정 시 노출은 어떻게 하나요?""}, ""detail_url"": ""https://www.firstmall.kr/customer/faq/25861"", ""detail_answer_collected"": true}"
25852,구축/운영,구글 사이트 등록 시 매타태그 등록 메뉴가 없어요 (HTML태그 입력 방식),구글 사이트 등록 시 매타태그 등록 메뉴가 없어요 (HTML태그 입력 방식),"# 2025-10-28일 이 후 FTP OPEN계정 및 '자동패치'계정 설정 방법 바로가기↗
2025-10-28일 이 전 FTP오픈계정 및 미패치 계정은 아래와 같은 방법으로 설정하실 수 있습니다.
◆ 1단계: 구글 웹마스터 도구 등록하기
1. 구글 Search Console↗ 에 접속하여 '시작하기'를 클릭합니다.
2. '속성 추가'를 클릭합니다.
3. 'URL 접두어'를 선택한 후, '쇼핑몰 URL'을 입력하고 '계속'을 클릭합니다.
4. '사이트 홈페이지에 메타태그 추가'를 선택한후, '메타태그'를 복사합니다.
5. 'HTML편집'에서 접속한 스킨의 _modules/common 폴더에서 html_header.html 을 클릭합니다. HTML소스에서 4번에서 복사한 메타태그를 붙여 놓고 저장합니다.
6. 태그 입력이 완료되었으면, Google Search Console에서 '확인'을 클릭합니다.
7. 소유권이 확인되는 것을 확인할 수 있습니다. 모든 절차가 완료 되었으며, 수일내로 Google 검색 로봇이 사이트 정보를 수집하여 검색결과에 반영하게 됩니다.
※ 추가로, 구글에서 제공하는 TXT 레코드를 DNS 설정에 입력하여 사용자 등록을 진행해주실 수 있습니다.
아래의 이미지를 참고하셔서 TXT 레코드를 복사하신 후 퍼스트몰 홈페이지 > 고객센터 > 1:1 문의하기를 통해 도메인 및 TXT 레코드값을 기재해서 요청주시면 수동으로 입력해드리도록 하겠습니다.
◆ 2단계: 사이트맵 제출하기(선택)
'설정> 운영 설정> 검색엔진최적화[SEO]'에서 고급 설정 탭에서 사이트맵 설정을 등록 후 진행해 주셔야 합니다. 사이트맵 등록 FAQ↗
※ 사이트맵을 제출하면 Google 검색로봇이 쇼핑몰의 문서를 더 효과적으로 수집하여 검색결과에 반영하여 검색품질이 높아질 수 있습니다.
1. 1) Sitemaps 을 클릭하고, 2) 사이트맵이름을 입력하여 '제출'을 클릭합니다.
2. 사이트맵이 제출되었습니다.",,,"{""list_item"": {""seq"": 25852, ""category"": ""구축/운영"", ""subject"": ""구글 사이트 등록 시 매타태그 등록 메뉴가 없어요 (HTML태그 입력 방식)""}, ""detail_url"": ""https://www.firstmall.kr/customer/faq/25852"", ""detail_answer_collected"": true}"
25851,구축/운영,네이버 사이트 등록 시 매타태그 등록 메뉴가 없어요 (HTML태그 입력 방식),네이버 사이트 등록 시 매타태그 등록 메뉴가 없어요 (HTML태그 입력 방식),"# 2025-10-28일 이 후 FTP OPEN계정 및 '자동패치'계정 설정 방법 바로가기↗
2025-10-28일 이 전 FTP오픈계정 및 미패치 계정은 아래와 같은 방법으로 설정하실 수 있습니다.
1. '서치어드바이저↗'로 접속하여 로그인합니다.
2. '웹마스터 도구'를 클릭합니다.
2. 등록할 '쇼핑몰의 도메인'을 입력합니다. (www. 제외하고 입력하시기 바랍니다.)
3. 소유확인 방법은 'HTML 태그'를 선택하고, '메타 태그'를 복사합니다.
4. 퍼스트몰 관리자로 접속하여 '디자인>HTML에디터'접속 후 'HTML에디터'에서 아래 경로로 접속하여 위에서 복사한 '메타 태그'를 입력한 후 저장합니다.
/data/skin/스킨폴더명/_modules/common/html_header.html
※ 2025년 10월 28일 위 메뉴는 개선되어 패치 후에는 HTML태그입력 없이 가능합니다.
※ 2016년 3월 이전에 받은 스킨의 경우,
data/skin/스킨폴더명/_modules/common/html_header.html 파일을 패치를 하셔야 합니니다.
위 이미지에서 '오른쪽 상단 '원본소스보기'를 클릭하면 최신 소스를 확인할 수 있습니다.
해당 소스를 직접 보고 수정해주시거나, 변경된 내용이 없다면 전체 복사 후 기존 소스를 삭제 후 적용해주시면 됩니다.
5. '네이버 웹마스터도구'에서 '소유확인'을 클릭하시면 됩니다.",,,"{""list_item"": {""seq"": 25851, ""category"": ""구축/운영"", ""subject"": ""네이버 사이트 등록 시 매타태그 등록 메뉴가 없어요 (HTML태그 입력 방식)""}, ""detail_url"": ""https://www.firstmall.kr/customer/faq/25851"", ""detail_answer_collected"": true}"
25685,구축/운영,네이버페이 주문형에 특정상품/카테고리 연동 제외 후에도 버튼이 노출돼요.,네이버페이 주문형에 특정상품/카테고리 연동 제외 후에도 버튼이 노출돼요.,"네이버페이 주문형 설정에서 특정상품/카테고리를 연동 제외로 설정할 수 있습니다.
※ 특정 상품 네이버페이 주문형 연동 제외 설정 FAQ 안내 ↗️
상품/카테고리 연동을 제외할 경우 해당되는 상품 또는 카테고리 전체 상품에 네이버페이 주문형 버튼이 비활성화 됩니다.
(네이버페이의 정책으로 인해 기존 버튼이 비활성화 처리 되며, 버튼 색상은 회색으로 변경됩니다.)
※ 네이버페이 주문형 연동 시
※ 네이버페이 주문형 연동 제외 시
※ 비활성화 처리 된 네이버페이 버튼을 클릭하면 아래와 같은 알럿 창이 발생됩니다.",,,"{""list_item"": {""seq"": 25685, ""category"": ""구축/운영"", ""subject"": ""네이버페이 주문형에 특정상품/카테고리 연동 제외 후에도 버튼이 노출돼요.""}, ""detail_url"": ""https://www.firstmall.kr/customer/faq/25685"", ""detail_answer_collected"": true}"
25469,퍼스트몰 기능 > 판매상품,네이버페이 주문형 결제 시 특정 옵션 주문이 안돼요,네이버페이 주문형 결제 시 특정 옵션 주문이 안돼요,"네이버페이 주문형 결제 시, 특정 옵션을 선택하고 Npay구매 버튼을 클릭하면 오류알럿이 발생하는 경우가 있습니다.
이는 상품의 기준옵션의 가격보다 특정 옵션의 가격이 -50% 미만의 괴리율이 발생할 경우 Npay 결제가 차단되는 현상입니다.
예) 기준옵션 가격 10,000원, 특정 옵션 가격이 4,000원일 경우 > 기준옵션 대비 -60% 이므로, 허용 기준 초과로 인해 오류 발생
단, 기준옵션가보다 높게 지정된 경우에는 제한이 없으므로, 아래와 같이 설정해보시기 바랍니다.
A : 기준옵션 가격을 가장 낮게 책정하고, 다른 옵션의 가격을 높게 책정한다.
B : 모든 옵션 가격을 기준옵션 대비 -50% 이상이 되도록 조정
(참고)",,,"{""list_item"": {""seq"": 25469, ""category"": ""퍼스트몰 기능 > 판매상품"", ""subject"": ""네이버페이 주문형 결제 시 특정 옵션 주문이 안돼요""}, ""detail_url"": ""https://www.firstmall.kr/customer/faq/25469"", ""detail_answer_collected"": true}"
25415,디자인 > 반응형 스킨,"게시판 유형 중, 썸네일형을 선택했는데 폰트 크기/색상, 줄내림 등이 적용되지 않아요.","게시판 유형 중, 썸네일형을 선택했는데 폰트 크기/색상, 줄내림 등이 적용되지 않아요.","게시판 유형 중 '썸네일형'은 게시물에서 html이 적용되지 않아 폰트 크기/색상, 줄내림 등이 적용되지 않습니다.
이는 의도된 기능이며, html 적용이 필요하신 경우에는 아래와 같이 수정할 수 있습니다.
1. '게시판 > 게시판 등록/관리'에서 해당 게시판의 'ID'를 확인합니다.
2. 이용하시는 스킨에서 해당 게시판 ID의 폴더로 접속하여 view.html 을 클릭합니다.
(ex. /스킨이름/board/게시판ID/gallery02로 접속하여 view.html 클릭)
3. HTML을 아래와 같이 변경하시면 됩니다.
- 변경 전: <li class=""contents"">{=strip_tags(contents)}</li>
- 변경 후: <li class=""contents"">{contents}</li>",,,"{""list_item"": {""seq"": 25415, ""category"": ""디자인 > 반응형 스킨"", ""subject"": ""게시판 유형 중, 썸네일형을 선택했는데 폰트 크기/색상, 줄내림 등이 적용되지 않아요.""}, ""detail_url"": ""https://www.firstmall.kr/customer/faq/25415"", ""detail_answer_collected"": true}"
25399,부가서비스/마케팅,쇼핑몰 앱 이용조건이 있나요?,쇼핑몰 앱 이용조건이 있나요?,"퍼스트몰에서 제작되는 모바일앱은 Android/iOS 앱 규정을 준수하고 있습니다.
마켓 규정에 따라 앱을 제작하고 있으며, 서비스 이용조건 및 구동 환경은 아래를 참고해주세요.
솔루션
퍼스트몰, 구버전
지원 언어
한국어
호스팅
코로케이션, 외부호스팅 이용 불가
OS 버전
Android : 버전 10 이상
iPhone : iOS 18 이상 호환기종확인↗️
이외의 OS 버전은 지원이 불가합니다.",,,"{""list_item"": {""seq"": 25399, ""category"": ""부가서비스/마케팅"", ""subject"": ""쇼핑몰 앱 이용조건이 있나요?""}, ""detail_url"": ""https://www.firstmall.kr/customer/faq/25399"", ""detail_answer_collected"": true}"
25397,구축/운영,독립몰 이용 시 외부호스팅 신청 할 수 있나요?,독립몰 이용 시 외부호스팅 신청 할 수 있나요?,"퍼스트몰 이용시 '외부호스팅'환경에서도 이용이 가능합니다.
다만, 아래의 설치 환경 조건을 충족해야 하며 일부 기능은 제한되므로 반드시 확인 후 이용해 주세요.
✅ 설치 환경
-> 외부호스팅에서 퍼스트몰을 설치하려면 다음과 같은 시스템 환경이 필요합니다.
- 운영체제: Linux 3.10.x 이상 (권장: Rocky Linux 8.x)
- 웹서버: Apache 2.4.x
- 프로그램 언어: PHP 8.2.x
- 암호화: phpscrew
- 데이터베이스(DB): MySQL 8.0.x
- 문자셋(Character Set): utf8mb4
- 코드이그나이터 버전: 3.1.13
❌ 이용 불가 기능
-> 외부호스팅에서는 퍼스트몰의 일부 기능 제한 및 프로그램 개발이 제한됩니다.
- 무통장 자동입금확인
- 오픈마켓연동
- 택배업무자동화(롯데택배 / 굿스플로 / 우체국택배)
- 네이버페이 주문형 주문 및 후기연동(상품연동만 가능)
- 쇼핑몰앱, 관리자앱
- 라이브 쇼핑
- 톡체크아웃
⚙️ 외부호스팅 사용 시 별도 세팅 필요한 기능
-> 외부호스팅에서 사용 시 추가 설정이 필요합니다:
- 자동 주문 무효, 장바구니 자동 삭제, 자동 구매확정, 자동 회원 등급 조정
- 임시 데이터 삭제, 오래된 통계 데이터 삭제, 메일 로그 삭제
- 회원 탈퇴 및 미인증자, 포인트 차감
- 배송사 배송추적 최신 URL 동기화
- 쇼핑몰 통계 동기화
- 임시 발주요청 및 추가구성옵션 데이터 삭제
- 티켓 상품 유효기간 체크 판매중지
✅설치 절차
1. 퍼스트몰 홈페이지에서 ‘독립몰 + 외부호스팅’ 신규 신청 후 MY퍼스트몰에서 매뉴얼을 다운로드합니다.
- 경로: MY퍼스트몰 > 설치대기 > 신청 도메인 > 설치자료/매뉴얼
- 설치자료에 포함된 **퍼스트몰 솔루션 프로그램 파일(firstmall_plus.tgz)**을 서버에 설치합니다.
2. '퍼스트몰 고객센터 → 1:1 문의 → ‘복구 및 서버문의’에서 이메일 주소를 남겨주시면 솔루션 소스 및 DB 제공을 요청합니다.
🔔설치비용 안내
2025년 5월 26일부터 설치 관련 비용이 아래와 같이 변경되었습니다.
▶️ 직접 설치
기존: 33,000원 -> 변경: 0원 (무료)​​​​​​
설치 자료는 [MY퍼스트몰 > 설치대기 > 신청 도메인 > 설치자료/매뉴얼]에서 확인하실 수 있습니다.
▶️ 설치 의뢰 시 비용(VAT 포함)
환경설정: 88,000원
APM 설치: 110,000원
환경설정 + APM 설치: 198,000원",,,"{""list_item"": {""seq"": 25397, ""category"": ""구축/운영"", ""subject"": ""독립몰 이용 시 외부호스팅 신청 할 수 있나요?""}, ""detail_url"": ""https://www.firstmall.kr/customer/faq/25397"", ""detail_answer_collected"": true}"
25392,디자인 > 전용 스킨,모바일에서 네이버페이 버튼이 정상적으로 보이지 않아요,모바일에서 네이버페이 버튼이 정상적으로 보이지 않아요,"퍼스트몰 솔루션 구버전 이용 시, 아래와 같이 모바일 환경에서 네이버페이 버튼이 쏠리거나 겹치거나 정상적으로 보여지지 않는 경우가 있습니다.
이 때, 아래의 방법을 참고하여 수정하실 수 있습니다.
※ 예시 화면 입니다.
# 수정 파일 및 소스코드
파일경로 : data/skin/스킨폴더/goods/view.html
CTRL + F ""navercheckout_tpl"" 검색 후 <td> ~ </td> 영역 전체를 아래와 같이 수정합니다.
<td colspan=""2"">
{? navercheckout_tpl }
<input type=""button"" style=""width:calc(50% - 5px); margin-right:5px;"" id=""npay_btn"" />
<input type=""button"" style=""width:calc(50% - 5px); margin-left:5px;"" id=""buy_btn""
class=""btn_important_large"" value=""구매하기"" />
{:}
<input type=""button"" style=""width:100%;"" id=""buy_btn"" class=""btn_important_large"" value=""구매하기"" />
{/}
</td>
※ 수정 후 화면 입니다.",,,"{""list_item"": {""seq"": 25392, ""category"": ""디자인 >  전용 스킨"", ""subject"": ""모바일에서 네이버페이 버튼이 정상적으로 보이지 않아요""}, ""detail_url"": ""https://www.firstmall.kr/customer/faq/25392"", ""detail_answer_collected"": true}"
